ID;Requerimiento;Categoría;Precondición;Pasos;Resultado esperado;Resultado obtenido;Estado;Evidencia
CP-01;RF01;Funcional;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_rf01_autenticacion.py::test_cp01_login_encargado_correcto;credenciales validas de encargado devuelven una sesion con rol encargado.;Coincide con el resultado esperado;Aprobado;tests/test_rf01_autenticacion.py:17 y evidencias/ejecucion-suite.txt
CP-02;RF01;Funcional;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_rf01_autenticacion.py::test_cp02_login_solicitante_correcto;el solicitante entra con su correo y queda identificado por su RUT.;Coincide con el resultado esperado;Aprobado;tests/test_rf01_autenticacion.py:27 y evidencias/ejecucion-suite.txt
CP-03;RF01;Negativo;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_rf01_autenticacion.py::test_cp03_credenciales_invalidas (4 combinaciones de datos);toda credencial invalida falla con el mismo mensaje generico.;Coincide con el resultado esperado;Aprobado;tests/test_rf01_autenticacion.py:45 y evidencias/ejecucion-suite.txt
CP-04;RF01;Borde;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_rf01_autenticacion.py::test_cp04_correo_no_distingue_mayusculas_ni_espacios;el correo se normaliza antes de buscar la cuenta.;Coincide con el resultado esperado;Aprobado;tests/test_rf01_autenticacion.py:58 y evidencias/ejecucion-suite.txt
CP-05;RF01;Negativo;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_rf01_autenticacion.py::test_cp05_contrasena_no_se_guarda_en_texto_plano;el JSON de solicitantes no contiene la contrasena legible.;Coincide con el resultado esperado;Aprobado;tests/test_rf01_autenticacion.py:66 y evidencias/ejecucion-suite.txt
CP-06;RN15;Funcional;Ninguna;python -m pytest tests/test_estados.py::test_cp06_transiciones_validas (8 combinaciones de datos);las transiciones del diagrama acordado se ejecutan.;Coincide con el resultado esperado;Aprobado;tests/test_estados.py:28 y evidencias/ejecucion-suite.txt
CP-07;RN15;Negativo;Ninguna;python -m pytest tests/test_estados.py::test_cp07_transiciones_inexistentes (5 combinaciones de datos);una transicion fuera del diagrama levanta ErrorTransicion.;Coincide con el resultado esperado;Aprobado;tests/test_estados.py:44 y evidencias/ejecucion-suite.txt
CP-08;RN15;Negativo;Ninguna;python -m pytest tests/test_estados.py::test_cp08_transicion_con_rol_no_autorizado (4 combinaciones de datos);la transicion existe pero el rol no la puede ejecutar.;Coincide con el resultado esperado;Aprobado;tests/test_estados.py:60 y evidencias/ejecucion-suite.txt
CP-09;RN15;Borde;Ninguna;python -m pytest tests/test_estados.py::test_cp09_estados_finales_no_tienen_salida;rechazada, concluida y cancelada no admiten ninguna accion.;Coincide con el resultado esperado;Aprobado;tests/test_estados.py:67 y evidencias/ejecucion-suite.txt
CP-10;RN12;Funcional;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_disponibilidad.py::test_cp10_equipo_sin_solicitudes_esta_disponible;sin solicitudes activas, todo el catalogo esta disponible.;Coincide con el resultado esperado;Aprobado;tests/test_disponibilidad.py:11 y evidencias/ejecucion-suite.txt
CP-11;RN12;Combina reglas;Un encargado, dos solicitantes al día y tres equipos libres. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_disponibilidad.py::test_cp11_todo_estado_activo_bloquea_el_equipo (5 combinaciones de datos);una solicitud por revisar bloquea igual que una en prestamo.;Coincide con el resultado esperado;Aprobado;tests/test_disponibilidad.py:24 y evidencias/ejecucion-suite.txt
CP-12;RN12;Funcional;Un encargado, dos solicitantes al día y tres equipos libres. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_disponibilidad.py::test_cp12_estado_final_libera_el_equipo (3 combinaciones de datos);una solicitud cerrada deja de ocupar el equipo.;Coincide con el resultado esperado;Aprobado;tests/test_disponibilidad.py:40 y evidencias/ejecucion-suite.txt
CP-13;RN12;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_disponibilidad.py::test_cp13_motivo_explica_por_que_no_se_puede_pedir;el motivo nombra la solicitud que tiene tomado el equipo.;Coincide con el resultado esperado;Aprobado;tests/test_disponibilidad.py:48 y evidencias/ejecucion-suite.txt
CP-14;VAL01;Borde;Ninguna;python -m pytest tests/test_validaciones.py::test_cp14_rut_valido_se_normaliza (4 combinaciones de datos);puntos, espacios y minusculas se normalizan al mismo formato.;Coincide con el resultado esperado;Aprobado;tests/test_validaciones.py:19 y evidencias/ejecucion-suite.txt
CP-15;VAL01;Negativo;Ninguna;python -m pytest tests/test_validaciones.py::test_cp15_rut_invalido_es_rechazado (6 combinaciones de datos);formato incorrecto o digito verificador erroneo levantan error.;Coincide con el resultado esperado;Aprobado;tests/test_validaciones.py:29 y evidencias/ejecucion-suite.txt
CP-16;RF02;Funcional;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado;python -m pytest tests/test_rf02_rf03_rf04_personas_equipos.py::test_cp16_encargado_registra_solicitante;el encargado registra un solicitante y queda en el JSON.;Coincide con el resultado esperado;Aprobado;tests/test_rf02_rf03_rf04_personas_equipos.py:18 y evidencias/ejecucion-suite.txt
CP-17;RF02;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf02_rf03_rf04_personas_equipos.py::test_cp17_solicitante_no_puede_registrar_personas;RF02 esta reservado al encargado.;Coincide con el resultado esperado;Aprobado;tests/test_rf02_rf03_rf04_personas_equipos.py:27 y evidencias/ejecucion-suite.txt
CP-18;RF02;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado;python -m pytest tests/test_rf02_rf03_rf04_personas_equipos.py::test_cp18_rut_duplicado_es_rechazado;no se puede registrar dos veces el mismo RUT.;Coincide con el resultado esperado;Aprobado;tests/test_rf02_rf03_rf04_personas_equipos.py:36 y evidencias/ejecucion-suite.txt
CP-19;RF03;Funcional;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado;python -m pytest tests/test_rf02_rf03_rf04_personas_equipos.py::test_cp19_encargado_registra_equipo;un equipo nuevo aparece en el catalogo como disponible.;Coincide con el resultado esperado;Aprobado;tests/test_rf02_rf03_rf04_personas_equipos.py:45 y evidencias/ejecucion-suite.txt
CP-20;RF03;Borde;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado;python -m pytest tests/test_rf02_rf03_rf04_personas_equipos.py::test_cp20_dos_unidades_del_mismo_modelo;dos unidades del mismo modelo conviven con codigos distintos.;Coincide con el resultado esperado;Aprobado;tests/test_rf02_rf03_rf04_personas_equipos.py:54 y evidencias/ejecucion-suite.txt
CP-21;RF03;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado;python -m pytest tests/test_rf02_rf03_rf04_personas_equipos.py::test_cp21_codigo_de_equipo_duplicado;repetir un codigo levanta ErrorDuplicado.;Coincide con el resultado esperado;Aprobado;tests/test_rf02_rf03_rf04_personas_equipos.py:62 y evidencias/ejecucion-suite.txt
CP-22;RF03;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado;python -m pytest tests/test_rf02_rf03_rf04_personas_equipos.py::test_cp22_categoria_vacia_es_rechazada;la categoria es obligatoria porque de ella depende la regla de las dos categorias.;Coincide con el resultado esperado;Aprobado;tests/test_rf02_rf03_rf04_personas_equipos.py:69 y evidencias/ejecucion-suite.txt
CP-23;RF04;Funcional;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf02_rf03_rf04_personas_equipos.py::test_cp23_solicitante_solo_ve_equipos_disponibles;RF04 filtra por rol.;Coincide con el resultado esperado;Aprobado;tests/test_rf02_rf03_rf04_personas_equipos.py:76 y evidencias/ejecucion-suite.txt
CP-24;RF05;Funcional;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp24_crear_solicitud_valida;RF05 crea la solicitud en estado por_revisar.;Coincide con el resultado esperado;Aprobado;tests/test_rf05_a_rf11_solicitudes.py:35 y evidencias/ejecucion-suite.txt
CP-25;RF05;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp25_encargado_no_puede_crear_solicitudes;solo los solicitantes generan solicitudes.;Coincide con el resultado esperado;Aprobado;tests/test_rf05_a_rf11_solicitudes.py:44 y evidencias/ejecucion-suite.txt
CP-26;RF05;Combina reglas;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp26_dos_equipos_de_la_misma_categoria;dos arduinos no son combinacion valida, un arduino y una tablet si.;Coincide con el resultado esperado;Aprobado;tests/test_rf05_a_rf11_solicitudes.py:51 y evidencias/ejecucion-suite.txt
CP-27;RF05;Borde;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp27_tope_de_equipos_por_solicitud;cero equipos y tres equipos son invalidos.;Coincide con el resultado esperado;Aprobado;tests/test_rf05_a_rf11_solicitudes.py:65 y evidencias/ejecucion-suite.txt
CP-28;RF05;Borde;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp28_duracion_maxima_de_una_semana;7 dias exactos se acepta, 8 dias se rechaza.;Coincide con el resultado esperado;Aprobado;tests/test_rf05_a_rf11_solicitudes.py:77 y evidencias/ejecucion-suite.txt
CP-29;RF05;Combina reglas;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como el solicitante Bruno Silva. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp29_equipo_ya_tomado_por_otra_persona;"gana quien pidio primero; el segundo recibe ErrorDisponibilidad.";Coincide con el resultado esperado;Aprobado;tests/test_rf05_a_rf11_solicitudes.py:87 y evidencias/ejecucion-suite.txt
CP-30;RF05;Combina reglas;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp30_solicitante_pendiente_no_puede_pedir;un atraso previo bloquea nuevas solicitudes.;Coincide con el resultado esperado;Aprobado;tests/test_rf05_a_rf11_solicitudes.py:96 y evidencias/ejecucion-suite.txt
CP-31;RF05;Combina reglas;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp31_con_dos_equipos_en_poder_no_puede_pedir_mas;el tope de dos equipos simultaneos cuenta lo ya entregado.;Coincide con el resultado esperado;Aprobado;tests/test_rf05_a_rf11_solicitudes.py:109 y evidencias/ejecucion-suite.txt
CP-32;RF06, RF07;Funcional;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp32_aprobar_y_rechazar;RF07 mueve la solicitud a aprobada o rechazada con motivo.;Falla como se esperaba. ;Pendiente de implementar;tests/test_rf05_a_rf11_solicitudes.py:121 y evidencias/ejecucion-suite.txt
CP-33;RF07;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como encargado. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp33_no_se_aprueba_dos_veces;aprobar una solicitud ya aprobada levanta ErrorTransicion.;Falla como se esperaba. ;Pendiente de implementar;tests/test_rf05_a_rf11_solicitudes.py:136 y evidencias/ejecucion-suite.txt
CP-34;RF09;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como el solicitante Bruno Silva. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp34_solicitante_no_cancela_solicitudes_ajenas;RF09 solo opera sobre solicitudes propias.;Falla como se esperaba. ;Pendiente de implementar;tests/test_rf05_a_rf11_solicitudes.py:146 y evidencias/ejecucion-suite.txt
CP-35;RF08, RF10;Combina reglas;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp35_declarar_devolucion_no_libera_el_equipo;"RF10 solo declara; el equipo se libera cuando RF08 confirma.";Falla como se esperaba. ;Pendiente de implementar;tests/test_rf05_a_rf11_solicitudes.py:158 y evidencias/ejecucion-suite.txt
CP-36;RF11;Borde;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp36_una_sola_renovacion;la segunda renovacion se rechaza.;Falla como se esperaba. ;Pendiente de implementar;tests/test_rf05_a_rf11_solicitudes.py:172 y evidencias/ejecucion-suite.txt
CP-37;RF08;Combina reglas;Un encargado, dos solicitantes al día y tres equipos libres. Se insertan solicitudes en un estado dado sin pasar por los servicios;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp37_atraso_deja_al_solicitante_pendiente;al pasar el periodo de gracia, la persona queda en estado pendiente.;Falla como se esperaba. ;Pendiente de implementar;tests/test_rf05_a_rf11_solicitudes.py:184 y evidencias/ejecucion-suite.txt
CP-38;RF05, RF07, RF08, RF10;Escenario completo;Un encargado, dos solicitantes al día y tres equipos libres. Sesión iniciada como la solicitante Ana Pérez. Sesión iniciada como encargado;python -m pytest tests/test_rf05_a_rf11_solicitudes.py::test_cp38_escenario_completo_de_solicitud_a_devolucion;recorrido completo, desde crear la solicitud hasta liberar el equipo.;Falla como se esperaba. ;Pendiente de implementar;tests/test_rf05_a_rf11_solicitudes.py:200 y evidencias/ejecucion-suite.txt
CP-39;INF02;Negativo;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_registro_sentry.py::test_cp39_sentry_apagado_durante_las_pruebas;la suite no puede enviar eventos reales al panel del proyecto.;Coincide con el resultado esperado;Aprobado;tests/test_registro_sentry.py:21 y evidencias/ejecucion-suite.txt
CP-40;INF01;Funcional;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_registro_sentry.py::test_cp40_los_eventos_quedan_en_el_log_con_su_actor;cada evento registra que paso, quien lo hizo y cuando.;Coincide con el resultado esperado;Aprobado;tests/test_registro_sentry.py:37 y evidencias/ejecucion-suite.txt
CP-41;INF01;Negativo;Un encargado, dos solicitantes al día y tres equipos libres;python -m pytest tests/test_registro_sentry.py::test_cp41_un_defecto_queda_registrado_sin_dsn;sin Sentry, el defecto igual se registra y no hay identificador.;Coincide con el resultado esperado;Aprobado;tests/test_registro_sentry.py:49 y evidencias/ejecucion-suite.txt
CP-42;INF02;Negativo;Un encargado, dos solicitantes al día y tres equipos libres. Se captura la salida por pantalla;python -m pytest tests/test_registro_sentry.py::test_cp42_un_error_previsto_no_se_reporta_como_defecto;un ErrorDominio se muestra al usuario y no genera reporte.;Coincide con el resultado esperado;Aprobado;tests/test_registro_sentry.py:63 y evidencias/ejecucion-suite.txt
CP-43;INF01;Borde;Un encargado, dos solicitantes al día y tres equipos libres. Se captura la salida por pantalla;python -m pytest tests/test_registro_sentry.py::test_cp43_un_defecto_inesperado_no_tumba_la_interfaz;la interfaz atrapa lo imprevisto y lo convierte en mensaje.;Coincide con el resultado esperado;Aprobado;tests/test_registro_sentry.py:82 y evidencias/ejecucion-suite.txt
CP-44;DEM02;Borde;Ninguna;python -m pytest tests/test_demo_y_menus.py::test_cp44_el_orden_de_los_menus_coincide_con_el_guion;"el guion cita números de opción; este caso los ancla.";Coincide con el resultado esperado;Aprobado;tests/test_demo_y_menus.py:37 y evidencias/ejecucion-suite.txt
CP-45;DEM01;Funcional;El escenario de demostración completo recién cargado;python -m pytest tests/test_demo_y_menus.py::test_cp45_la_demo_tiene_un_ejemplo_de_cada_estado;CP-45 (DEM.1): se puede mostrar cualquier estado sin esperar días.;Coincide con el resultado esperado;Aprobado;tests/test_demo_y_menus.py:44 y evidencias/ejecucion-suite.txt
CP-46;DEM01;Funcional;El escenario de demostración completo recién cargado;python -m pytest tests/test_demo_y_menus.py::test_cp46_la_demo_tiene_un_solicitante_pendiente;CP-46 (DEM.2): hace falta para mostrar el bloqueo por atraso.;Coincide con el resultado esperado;Aprobado;tests/test_demo_y_menus.py:52 y evidencias/ejecucion-suite.txt
CP-47;DEM01;Combina reglas;El escenario de demostración completo recién cargado;python -m pytest tests/test_demo_y_menus.py::test_cp47_la_demo_muestra_los_tres_estados_de_un_equipo;disponible, en uso y fuera de servicio, los tres visibles.;Coincide con el resultado esperado;Aprobado;tests/test_demo_y_menus.py:67 y evidencias/ejecucion-suite.txt
CP-48;DEM02;Borde;El escenario de demostración completo recién cargado;python -m pytest tests/test_demo_y_menus.py::test_cp48_la_demo_es_reproducible;CP-48 (DEM.4): volver a cargarla deja el mismo escenario, no lo duplica.;Coincide con el resultado esperado;Aprobado;tests/test_demo_y_menus.py:82 y evidencias/ejecucion-suite.txt
CP-49;DEM02;Negativo;El escenario de demostración completo recién cargado;python -m pytest tests/test_demo_y_menus.py::test_cp49_la_demo_no_pisa_datos_existentes_sin_forzar;sin --forzar el script se niega, para no borrar lo que hay.;Coincide con el resultado esperado;Aprobado;tests/test_demo_y_menus.py:92 y evidencias/ejecucion-suite.txt
CP-50;RN01;Combina reglas;Los datos base más tres unidades extra, dos de ellas laptops. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf05_reglas_cruzadas.py::test_cp50_varias_solicitudes_no_pueden_superar_el_tope;RN01 limita a 2 equipos simultáneos, no a 2 por solicitud.;Falla como se esperaba. Defecto abierto: el tope solo cuenta lo ya entregado. Registrado en #27;Defecto abierto #27;tests/test_rf05_reglas_cruzadas.py:50 y evidencias/ejecucion-suite.txt
CP-51;RN02;Combina reglas;Los datos base más tres unidades extra, dos de ellas laptops. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf05_reglas_cruzadas.py::test_cp51_dos_solicitudes_no_pueden_dar_dos_equipos_de_la_misma_categoria;RN02 habla de los equipos en poder de una persona, no de una solicitud.;Falla como se esperaba. Defecto abierto: las categorías solo se comparan dentro de una solicitud. Registrado en #28;Defecto abierto #28;tests/test_rf05_reglas_cruzadas.py:67 y evidencias/ejecucion-suite.txt
CP-52;RF05;Negativo;Los datos base más tres unidades extra, dos de ellas laptops. Sesión iniciada como la solicitante Ana Pérez;python -m pytest tests/test_rf05_reglas_cruzadas.py::test_cp52_no_se_puede_pedir_para_fechas_ya_pasadas;una solicitud con devolución en el pasado nace ya vencida.;Falla como se esperaba. Defecto abierto: no se valida que las fechas sean futuras. Registrado en #29;Defecto abierto #29;tests/test_rf05_reglas_cruzadas.py:89 y evidencias/ejecucion-suite.txt
